word,count
doubts,1575
dreaded,1572
disgust,1572
livid,1566
numb,1564
unwanted,1550
ignorance,1545
worrying,1518
neglect,1491
demands,1490
suspected,1485
saddened,1485
grief,1470
interrupt,1465
mock,1465
pretending,1452
choke,1446
inadequate,1444
prevented,1440
lonely,1433
disappointments,1421
shameful,1421
distraction,1413
unclear,1403
puzzled,1396
infected,1391
rage,1390
fiasco,1389
rejected,1386
threaten,1378
shattered,1377
forgetful,1360
swears,1358
pity,1358
poison,1351
destroy,1345
distract,1337
torture,1325
mediocrity,1323
douche,1323
racism,1308
suffers,1294
dilemma,1289
aggravated,1289
sinful,1284
depressed,1275
disturbed,1273
lawsuit,1272
awaited,1259
escapes,1259
dismal,1258
threat,1256
uneasy,1245
yucky,1241
apologizes,1241
weakness,1216
devastated,1213
moron,1210
dreary,1206
contender,1202
debt,1188
remorse,1187
suspects,1182
smear,1174
tense,1165
abusive,1162
grave,1153
touted,1150
notorious,1150
firing,1146
uncertain,1138
confuse,1125
abused,1124
moody,1123
perplexed,1121
murder,1104
hating,1099
restricted,1099
haunts,1098
stubborn,1096
foolish,1088
selfish,1084
bothersome,1082
doubtful,1069
starved,1069
frantic,1068
rash,1067
contagious,1034
await,1031
flop,1026
choked,1016
badass,1013
darkness,1013
trauma,1004
greed,1001
dreading,998
banned,996
haters,994
stupidly,990
denying,986
incapable,984
regretting,982
distress,977
disregarded,976
misunderstood,971
conflict,971
panicked,966
tragic,958
accusing,957
insanity,949
disappears,937
loser,931
fools,931
humiliated,929
preventing,921
dizzy,905
prevents,903
disastrous,900
disguise,899
warnings,898
defect,897
demonstration,895
traumatic,893
struggles,892
violated,884
cruel,883
combat,882
bore,879
tricked,869
cocky,866
dirtiest,866
undecided,861
obscene,861
timid,857
disruptive,852
fucked,852
obstacle,845
irate,842
ignores,841
aggravating,841
disputed,838
disdain,823
restriction,819
infuriating,816
overweight,816
violent,814
deceived,811
itchy,806
arrested,800
risks,799
giddy,798
obstacles,791
gloomy,790
misery,786
penalty,784
defeated,782
annoy,782
retained,781
criminals,779
suspended,778
uptight,778
escaping,778
shaky,771
loathe,763
destroying,761
dismayed,755
embarrass,754
choking,754
irony,752
alarmed,752
disputing,743
negativity,741
longing,734
heartbroken,731
intimidate,729
discarded,728
threats,726
indifference,725
accuse,720
vile,717
shocks,716
goddamn,715
tumor,710
offend,708
harried,705
awaits,704
pesky,703
disorder,702
naive,700
criticize,700
hysterical,694
fearful,691
childish,684
swearing,683
deafening,677
terror,676
vulnerable,672
riot,672
abandon,672
annoys,671
starve,667
bitches,667
bullied,664
bastard,664
blurry,658
tragedy,657
boycott,655
insensitive,651
collapsed,648
disjointed,647
travesty,644
steals,644
unconcerned,641
stab,635
distressed,633
critics,633
accidental,633
aching,625
lurking,625
dirtier,624
tout,624
poorer,621
protest,619
frightening,619
deceitful,618
needy,616
duped,615
crushing,614
attacks,612
victims,610
stereotype,606
misinformed,606
cock,604
skeptic,602
failures,601
lethargic,601
frenzy,598
violence,597
sluggish,596
conflicting,595
exaggerated,593
lackadaisical,590
hides,589
prick,584
revenge,581
expose,576
startled,576
disguised,572
dubious,571
suicide,567
deceive,566
detached,563
frightened,561
aggression,555
ineffective,550
recession,549
idiotic,549
mocking,548
belittled,546
restless,546
heartbreaking,545
withdrawal,543
defects,543
piqued,536
underestimated,531
mocked,525
insults,524
sentences,523
imposing,523
outraged,522
resigned,521
misinformation,515
devastating,514
hacked,511
unstable,511
underestimate,508
cruelty,504
attacking,504
stabbed,502
exposing,502
reject,501
dodging,499
perturbed,498
poorest,498
hopeless,497
undesirable,496
infuriated,494
eerie,491
oversell,490
shamed,488
bullying,487
apathy,486
dumps,483
interruption,473
excluded,472
blames,471
fuming,467
helpless,467
doubted,463
slash,462
bankrupt,458
homesick,458
shortages,457
craziest,457
reckless,453
punished,453
envious,451
fearing,448
scams,447
offending,447
chastised,444
doomed,440
harmful,439
fatigue,437
jackass,437
relentless,436
upsets,430
avoids,429
collapse,427
accusations,426
arrest,422
neglecting,417
retarded,417
